Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.      
Vardas1             Pavarde1            7         4         9         10        4         5         7         9         9         1         0         3         1         4         3         5         
Vardas2             Pavarde2            0         8         8         0         7         0         8         6         6         2         7         7         10        8         4         4         
Vardas3             Pavarde3            6         0         1         7         10        2         9         10        1         5         0         3         2         5         2         10        
Vardas4             Pavarde4            8         6         2         0         1         8         2         0         8         8         2         2         5         10        8         10        
Vardas5             Pavarde5            3         9         6         5         10        10        6         1         8         1         10        9         10        7         3         2         
Vardas6             Pavarde6            9         9         2         1         10        4         7         8         5         3         10        9         0         8         2         10        
Vardas7             Pavarde7            1         2         3         9         0         4         7         10        1         0         10        3         8         1         9         2         
Vardas8             Pavarde8            7         2         0         2         5         9         5         0         10        9         3         5         5         9         1         4         
Vardas9             Pavarde9            9         3         10        6         8         1         5         5         0         9         6         5         9         4         5         5         
Vardas10            Pavarde10           3         2         10        1         6         7         8         3         2         0         0         10        5         9         1         4         
Vardas11            Pavarde11           4         7         3         7         2         1         2         10        8         9         5         2         5         1         10        5         
Vardas12            Pavarde12           4         5         1         7         7         4         8         6         0         10        0         9         1         5         7         6         
Vardas13            Pavarde13           3         9         10        7         3         2         4         4         2         3         7         0         7         0         2         8         
Vardas14            Pavarde14           6         9         10        3         6         8         10        5         10        4         6         4         1         4         1         7         
Vardas15            Pavarde15           8         9         10        3         3         1         6         2         10        9         4         8         6         4         8         9         
Vardas16            Pavarde16           0         2         6         9         5         5         5         1         0         1         1         3         9         6         7         2         
Vardas17            Pavarde17           4         1         2         5         6         2         8         10        6         3         0         9         1         3         3         3         
Vardas18            Pavarde18           9         1         8         4         9         6         6         2         10        0         9         3         7         10        1         2         
Vardas19            Pavarde19           1         2         5         8         5         0         3         1         6         1         9         0         3         5         0         2         
Vardas20            Pavarde20           9         9         5         4         10        7         2         3         7         0         7         7         2         8         3         4         
Vardas21            Pavarde21           2         0         3         5         3         3         6         1         7         5         10        7         8         4         7         2         
Vardas22            Pavarde22           1         8         1         8         8         7         5         4         8         8         9         7         4         10        7         5         
Vardas23            Pavarde23           8         3         6         0         1         4         0         5         5         2         0         7         2         6         2         6         
Vardas24            Pavarde24           2         4         2         8         10        9         3         8         4         2         10        1         2         9         0         7         
Vardas25            Pavarde25           8         10        4         8         0         0         9         6         1         9         5         3         8         8         0         6         
Vardas26            Pavarde26           10        9         9         7         5         0         10        7         4         8         7         10        7         9         3         9         
Vardas27            Pavarde27           6         9         3         5         7         1         8         8         5         5         5         5         1         0         1         7         
Vardas28            Pavarde28           6         2         4         9         1         3         9         8         4         5         10        4         8         0         0         10        
Vardas29            Pavarde29           0         0         10        5         5         6         5         7         9         10        0         9         1         5         3         8         
Vardas30            Pavarde30           4         3         1         6         4         10        5         4         1         6         7         1         9         10        5         9         
Vardas31            Pavarde31           5         1         7         10        8         5         1         7         3         4         4         8         9         4         2         5         
Vardas32            Pavarde32           4         0         0         7         4         9         5         6         5         8         7         8         1         7         4         9         
Vardas33            Pavarde33           7         3         8         3         9         2         8         7         3         10        5         7         7         3         9         6         
Vardas34            Pavarde34           4         9         10        5         0         6         7         8         5         2         9         6         7         3         9         1         
Vardas35            Pavarde35           4         2         4         9         10        8         7         6         9         6         10        9         0         5         7         0         
Vardas36            Pavarde36           10        4         6         9         5         0         7         9         7         7         9         8         7         1         4         9         
Vardas37            Pavarde37           4         5         2         5         7         4         4         9         9         0         9         1         5         10        10        4         
Vardas38            Pavarde38           10        1         9         3         0         9         1         6         7         4         2         9         6         1         8         0         
Vardas39            Pavarde39           2         5         1         4         10        8         7         5         7         5         5         0         10        6         8         7         
Vardas40            Pavarde40           1         3         10        5         9         5         0         3         10        7         3         4         9         5         4         1         
Vardas41            Pavarde41           10        10        3         10        3         4         0         4         9         0         4         5         6         6         7         7         
Vardas42            Pavarde42           9         4         4         6         4         10        0         5         10        7         7         6         4         8         1         1         
Vardas43            Pavarde43           5         9         6         5         7         9         0         7         5         1         4         10        2         2         1         0         
Vardas44            Pavarde44           9         8         10        7         10        5         3         2         1         2         1         6         1         2         4         10        
Vardas45            Pavarde45           2         2         7         5         9         7         8         6         4         5         1         4         5         0         0         10        
Vardas46            Pavarde46           3         3         10        5         7         6         6         10        4         0         2         7         2         2         5         4         
Vardas47            Pavarde47           4         3         5         9         1         9         4         0         0         1         8         9         1         4         5         3         
Vardas48            Pavarde48           1         1         0         7         8         1         5         8         0         9         4         6         3         9         5         2         
Vardas49            Pavarde49           3         2         8         1         4         4         5         7         4         7         9         7         1         2         5         1         
Vardas50            Pavarde50           0         0         3         7         9         6         10        4         2         4         0         8         3         8         10        1         
Vardas51            Pavarde51           1         4         9         6         0         1         8         4         6         3         8         1         0         4         10        1         
Vardas52            Pavarde52           8         10        3         8         1         0         7         6         9         1         8         7         0         5         8         0         
Vardas53            Pavarde53           3         3         8         6         7         0         6         10        5         8         7         8         9         5         7         6         
Vardas54            Pavarde54           7         10        3         8         10        9         5         8         10        0         0         6         9         7         3         9         
Vardas55            Pavarde55           10        5         10        5         4         2         6         0         4         3         4         7         5         10        8         3         
Vardas56            Pavarde56           0         4         9         2         10        4         3         3         2         3         2         1         9         6         6         0         
Vardas57            Pavarde57           0         3         10        4         4         9         1         0         7         6         8         0         6         8         2         9         
Vardas58            Pavarde58           8         3         10        10        4         4         8         1         4         7         4         7         3         5         7         4         
Vardas59            Pavarde59           0         10        5         6         0         1         0         0         1         3         2         7         4         10        1         9         
Vardas60            Pavarde60           8         0         6         1         10        0         5         2         0         6         1         8         2         0         6         10        
Vardas61            Pavarde61           5         10        5         0         7         8         5         3         6         0         10        1         0         4         1         10        
Vardas62            Pavarde62           6         2         5         2         3         0         0         0         6         4         10        8         3         1         5         9         
Vardas63            Pavarde63           4         9         9         2         10        5         10        6         3         6         8         7         7         2         7         8         
Vardas64            Pavarde64           10        7         0         7         5         3         9         4         3         3         10        7         6         2         10        4         
Vardas65            Pavarde65           2         6         7         6         0         0         8         10        8         5         3         4         10        5         4         6         
Vardas66            Pavarde66           6         3         9         2         7         2         10        3         2         1         4         4         10        2         9         6         
Vardas67            Pavarde67           5         5         1         6         1         3         6         3         9         3         3         4         2         3         2         5         
Vardas68            Pavarde68           6         0         7         7         7         8         3         9         0         7         9         10        10        0         6         8         
Vardas69            Pavarde69           10        5         10        4         6         1         9         10        7         3         0         4         5         1         1         1         
Vardas70            Pavarde70           0         10        2         5         10        9         1         3         3         4         3         8         6         0         10        0         
Vardas71            Pavarde71           0         3         0         8         9         5         8         9         8         8         8         9         0         4         7         0         
Vardas72            Pavarde72           6         4         7         9         9         3         8         4         7         5         9         0         0         8         3         4         
Vardas73            Pavarde73           1         8         6         9         2         7         1         10        3         7         6         3         3         1         7         8         
